Venue Name,City,State,Capacity,Age Restrictions,Region,Venue Type,Genres (top 3),Image,Website,Source(s),Venue ID,Confidence
White River Valley Museum,Auburn,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/Auburn%2C%20WA%20%E2%80%94%20White%20River%20Valley%20Museum.jpg,http://www.wrvmuseum.org/,WikidataSPARQL,wd-Q24534418,90
Bainbridge Cinemas,Bainbridge Island,WA,,,West,Venue,,,http://www.farawayentertainment.com,WikidataSPARQL,wd-Q43305564,90
Bainbridge History Museum,Bainbridge Island,WA,,,West,Venue,,,https://www.bainbridgehistorymuseum.org/,WikidataSPARQL,wd-Q134286875,90
Bainbridge Island Museum of Art,Bainbridge Island,WA,,,West,Venue,,,http://biartmuseum.org/,WikidataSPARQL,wd-Q116762726,90
Eagle Harbor Congregational Church,Bainbridge Island,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/Eagle%20Harbor%20Congregational%20Church%202019-1477.jpg,,WikidataSPARQL,wd-Q66579325,85
Kids Discovery Museum,Bainbridge Island,WA,,,West,Venue,,,https://www.kidimu.org/,WikidataSPARQL,wd-Q57960550,90
Lynwood Theatre,Bainbridge Island,WA,,,West,Theatre,,,https://farawayentertainment.com/historic-lynwood/,WikidataSPARQL,wd-Q6709548,90
Battle Ground Cinema,Battle Ground,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/Battle%20Ground%20Cinema%2C%20July%202020.jpg,http://www.prestigetheatres.com,WikidataSPARQL,wd-Q43305565,90
Bee Gee Theatre,Battle Ground,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305567,85
AMC Loews Factoria Cinemas,Bellevue,WA,,,West,Venue,,,https://www.amctheatres.com/movie-theatres/seattle-tacoma/amc-factoria-8,WikidataSPARQL,wd-Q43305568,90
Bannerwood Park,Bellevue,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fbannerwood-park-tickets-bellevue%2Fvenue%2F123807&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA1kdlA,80
Bel-Kirk Drive-In,Bellevue,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305456,85
Bel-Vue Theatre,Bellevue,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305569,85
Bellevue Arts Museum,Bellevue,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/BellevueArtsMuseum01.jpg,,WikidataSPARQL,wd-Q4883914,85
Bellevue College Soccer Field,Bellevue,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZaAlR,75
Bellevue Doubletree Hotel,Bellevue,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fbellevue-doubletree-hotel-tickets-bellevue%2Fvenue%2F123207&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA1kaEA,80
Bellevue Galleria Stadium 11,Bellevue,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305570,85
Bellevue Hyatt Regency,Bellevue,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fbellevue-hyatt-regency-tickets-bellevue%2Fvenue%2F122898&utm_medium=affiliate,Ticketmaster,tmv-KovZpa9_Qe,80
