Venue Name,City,State,Capacity,Age Restrictions,Region,Venue Type,Genres (top 3),Image,Website,Social Links,Source(s),Venue ID,Confidence
Lee Theater,Ephrata,WA,,,West,Theatre,,,http://www.leetheaters.com,,WikidataSPARQL,wd-Q43305659,95
MarJo Theatre,Ephrata,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305661,92
Palace Theater,Friday Harbor,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305680,92
Galaxy Gig Harbor,Gig Harbor,WA,,,West,Venue,,,http://www.galaxytheatres.com,,WikidataSPARQL,wd-Q43305681,95
Roxy Theatre,Gig Harbor,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305684,92
Star Theater,Goldendale,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305686,92
Roosevelt Theatre,Grand Coulee,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305687,92
Martin Village 16,Lacey,WA,,,West,Venue,,,http://www.regalcinemas.com,,WikidataSPARQL,wd-Q43305715,95
Empire Theater,Lind,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305722,92
Neptune Twin Theatre,Long Beach,WA,,,West,Theatre,,,http://www.neptunetwin.com,,WikidataSPARQL,wd-Q43305723,95
Liberty Theatre,Lynden,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305728,92
Galaxy Monroe,Monroe,WA,,,West,Venue,,,https://www.galaxytheatres.com/Browsing/Cinemas/Compare?Cinemas=3,,WikidataSPARQL,wd-Q43305740,95
Roxy Theatre,Morton,WA,,,West,Theatre,,,http://www.mortonroxy.org,,WikidataSPARQL,wd-Q43305741,95
G Theatre,Mossyrock,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/G%20Theatre.jpg,,,WikidataSPARQL,wd-Q43305745,92
Cinebarre Mountlake Terrace,Mountlake Terrace,WA,,,West,Venue,,,http://www.cinebarre.com,,WikidataSPARQL,wd-Q43305747,95
Skywarrior Theater,Oak Harbor,WA,,,West,Theatre,,,http://www.navylifepnw.com/site/80/Skywarrior-Theater.aspx,,WikidataSPARQL,wd-Q43305752,95
Orada Theater,Oroville,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305769,92
Osoyoos Theater,Oroville,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305771,92
Congress Theater,Palouse,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305774,92
Pe Ell Theatre,Pe Ell,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305779,92
Point Roberts Theater,Point Roberts,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305780,92
Seeley Theatre,Pomeroy,WA,,,West,Theatre,,,http://www.seeleytheatre.com,,WikidataSPARQL,wd-Q43305781,95
Uptown Theatre,Port Townsend,WA,,,West,Theatre,,,https://www.ptuptowntheatre.com/,,WikidataSPARQL,wd-Q43305790,95
Wheel-In Motor Movie,Port Townsend,WA,,,West,Venue,,,http://www.ptwheelinmotormovie.com,,WikidataSPARQL,wd-Q43305792,95
Old Post Office Theatre,Pullman,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305796,92
Old Liberty Theater,Ridgefield,WA,,,West,Theatre,,,http://www.oldlibertytheater.com,,WikidataSPARQL,wd-Q43305832,95
Dream Theater,Sedro-Woolley,WA,,,West,Theatre,,,http://www.stumpranchonline.com/skagitjournal/S-W/Gen/Dream1917Passion.jpg,,WikidataSPARQL,wd-Q43306806,95
Skykomish Theater,Skykomish,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306832,92
Brook Theatre,Snoqualmie,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306835,92
Grand Opera House,South Bend,WA,,,West,Venue,,,,,WikidataSPARQL,wd-Q43306837,92
Tokay Theatre,South Bend,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306840,92
Capitol Theatre,Sunnyside,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306947,92
Liberty Theater,Sunnyside,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306949,92
Chief Theater,Tonasket,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43307011,92
Plaza Theatre,Waitsburg,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43307053,92
Liberty Theater,Wapato,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43307067,92
Mission Theatre,Wenatchee,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43307076,92
Rialto Theater,Wenatchee,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43307079,92
Star Theatre,Wenatchee,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43307081,92
