Venue Name,City,State,Capacity,Age Restrictions,Region,Venue Type,Genres (top 3),Image,Website,Source(s),Venue ID,Confidence
ilani Garage Rooftop,Ridgefield,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Filani-garage-rooftop-tickets-ridgefield%2Fvenue%2F124067&utm_medium=affiliate,Ticketmaster,tmv-KovZ917ARTj,80
Smoke & Cedar at Muckleshoot Casino Resort,Auburn,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fsmoke-cedar-at-muckleshoot-casino-resort-tickets-auburn%2Fvenue%2F124066&utm_medium=affiliate,Ticketmaster,tmv-KovZ917ARTk,80
One Spokane Stadium,Spokane,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fone-spokane-stadium-tickets-spokane%2Fvenue%2F124060&utm_medium=affiliate,Ticketmaster,tmv-KovZ917ARuj,80
Madame Lou's,Seattle,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fmadame-lous-tickets-seattle%2Fvenue%2F124076&utm_medium=affiliate,Ticketmaster,tmv-KovZ917AYIq,80
BECU Live at Northern Quest,Airway Heights,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fbecu-live-at-northern-quest-tickets-airway-heights%2Fvenue%2F124025&utm_medium=affiliate,Ticketmaster,tmv-KovZ917AiIF,80
Federal Way Performing Arts and Event Center,Federal Way,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Ffederal-way-performing-arts-and-event-tickets-federal-way%2Fvenue%2F124020&utm_medium=affiliate,Ticketmaster,tmv-KovZ917Aiqe,80
Washougal MX Park,Washougal,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fwashougal-mx-park-tickets-washougal%2Fvenue%2F124053&utm_medium=affiliate,Ticketmaster,tmv-KovZ917Am1k,80
First Interstate Center for the Arts,Spokane,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Ffirst-interstate-center-for-the-arts-tickets-spokane%2Fvenue%2F123934&utm_medium=affiliate,Ticketmaster,tmv-KovZ917AxcJ,80
Martin Stadium,Pullman,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fmartin-stadium-tickets-pullman%2Fvenue%2F123732&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA1JA7A,80
Marymoor Park,Redmond,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fmarymoor-park-tickets-redmond%2Fvenue%2F123809&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA1JAkA,80
Spokane Arena,Spokane,WA,,,West,Arena,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fspokane-arena-tickets-spokane%2Fvenue%2F123682&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA1eklA,80
THE INB PERFORMING ARTS CENTER,Spokane,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fthe-inb-performing-arts-center-tickets-spokane%2Fvenue%2F123780&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA1ne7A,80
Pier 62/63,Seattle,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fpier-6263-tickets-seattle%2Fvenue%2F123462&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA1tEIA,80
Town Toyota Center - Wenatchee,Wenatchee,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Ftown-toyota-center-wenatchee-tickets-wenatchee%2Fvenue%2F123853&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAE6FIA,80
Clock-Out Lounge,Seattle,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fclockout-lounge-tickets-seattle%2Fvenue%2F336363&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAFal7A,80
Northern Quest Resort and Casino,Airway Heights,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fnorthern-quest-resort-and-casino-tickets-airway-heights%2Fvenue%2F123857&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAIv7JA,80
accesso ShoWare Center,Kent,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Faccesso-showare-center-tickets-kent%2Fvenue%2F123819&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAJvdEA,80
Benaroya Hall - Nordstrom Recital Hall,Seattle,WA,,,West,Hall,,https://s1.ticketm.net/dbimages/6849v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fbenaroya-hall-nordstrom-recital-hall-tickets-seattle%2Fvenue%2F123180&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAaIAkA,80
Husky Stadium,Seattle,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fhusky-stadium-tickets-seattle%2Fvenue%2F122954&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAaIJtA,80
El Corazon,Seattle,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fel-corazon-tickets-seattle%2Fvenue%2F123714&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAaIkkA,80
Mount Baker Theatre,Bellingham,WA,,,West,Theatre,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fmount-baker-theatre-tickets-bellingham%2Fvenue%2F122969&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAdEEdA,80
Capitol Theatre,Yakima,WA,,,West,Theatre,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fcapitol-theatre-tickets-yakima%2Fvenue%2F122906&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAdnInA,80
ShoWare Center,Kent,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fshoware-center-tickets-kent%2Fvenue%2F339743&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAktAaA,80
The 5th Avenue Theatre,Seattle,WA,,,West,Theatre,,https://s1.ticketm.net/dbimages/24559v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fthe-5th-avenue-theatre-tickets-seattle%2Fvenue%2F122943&utm_medium=affiliate,Ticketmaster,tmv-KovZpa3Mze,80
Showbox SODO,Seattle,WA,,,West,Venue,,https://s1.ticketm.net/dbimages/8346v.,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fshowbox-sodo-tickets-seattle%2Fvenue%2F360476&utm_medium=affiliate,Ticketmaster,tmv-KovZpa6Mee,80
